,rowid,longitude,latitude
0,4,3.059303,50.61897
1,12,3.075571,50.623528
2,17,3.099521,50.622582
3,37,3.101242,50.633161
4,39,3.0265,50.615809
5,43,3.034681,50.628527
6,45,3.091835,50.650769
7,46,3.08583,50.633455
8,50,3.111188,50.633162
9,107,3.102869,50.625936
10,111,3.0287,50.61522
11,112,3.028648,50.615209
12,148,3.112885,50.626268
13,150,3.052759,50.633131
14,152,3.100744,50.633254
15,154,3.102145,50.63256
16,156,3.042858,50.621077
17,157,3.059018,50.62533
18,159,3.090071,50.645563
19,160,3.114345,50.633553
20,165,3.096277,50.636045
21,166,3.108636,50.626799
22,207,3.07148,50.611685
23,208,3.044605,50.612643
24,222,3.053305,50.621677
25,223,3.05336,50.621684
26,237,3.099351,50.629348
27,245,3.046068,50.621131
28,249,3.114132,50.629843
29,260,3.105883,50.62737
30,261,3.104199,50.632544
31,280,3.110199,50.625844
32,281,3.097759,50.621476
33,283,3.0855,50.641747
34,284,3.036955,50.627982
35,285,3.093314,50.650058
36,287,3.069023,50.624033
37,290,3.066618,50.612475
38,296,3.096428,50.635075
39,305,3.102371,50.631897
40,314,3.058683,50.622649
41,316,3.08971,50.654073
42,329,3.099131,50.621737
43,346,3.060665,50.61829
44,347,3.106312,50.627424
45,387,3.020885,50.636117
46,400,3.098055,50.621929
47,402,3.027168,50.631071
48,408,3.097645,50.620995
49,411,3.030168,50.622796
50,414,3.046463,50.614459
51,437,3.037653,50.627995
52,440,3.094476,50.623487
53,458,3.114567,50.631994
54,465,3.085283,50.651737
55,466,3.088924,50.656076
56,472,3.055574,50.605947
57,475,3.096322,50.623038
58,494,3.055775,50.60501
59,522,3.092666,50.62267
60,527,3.039544,50.633873
61,529,3.088277,50.647752
62,556,3.089884,50.631067
63,559,3.052413,50.631868
64,560,3.052488,50.6319
65,576,3.090728,50.636637
66,577,3.048636,50.614503
67,579,3.048531,50.614529
68,585,3.112686,50.632739
69,587,3.040868,50.632069
70,589,3.098781,50.636763
