,rowid,date_mutation,longitude,latitude
0,4,2017-07-04,3.059303,50.61897
1,12,2017-07-04,3.075571,50.623528
2,17,2017-07-05,3.099521,50.622582
3,37,2017-07-07,3.101242,50.633161
4,39,2017-07-06,3.0265,50.615809
5,43,2017-07-05,3.034681,50.628527
6,45,2017-07-03,3.091835,50.650769
7,46,2017-07-10,3.08583,50.633455
8,50,2017-07-10,3.111188,50.633162
9,107,2017-07-05,3.102869,50.625936
10,111,2017-07-10,3.0287,50.61522
11,112,2017-07-10,3.028648,50.615209
12,148,2017-07-06,3.112885,50.626268
13,150,2017-07-13,3.052759,50.633131
14,152,2017-07-03,3.100744,50.633254
15,154,2017-07-04,3.102145,50.63256
16,156,2017-07-07,3.042858,50.621077
17,157,2017-07-07,3.059018,50.62533
18,159,2017-07-04,3.090071,50.645563
19,160,2017-07-17,3.114345,50.633553
20,165,2017-07-06,3.096277,50.636045
21,166,2017-07-07,3.108636,50.626799
22,207,2017-07-07,3.07148,50.611685
23,208,2017-07-10,3.044605,50.612643
24,222,2017-07-13,3.053305,50.621677
25,223,2017-07-13,3.05336,50.621684
26,237,2017-07-18,3.099351,50.629348
27,245,2017-07-06,3.046068,50.621131
28,249,2017-07-12,3.114132,50.629843
29,260,2017-07-19,3.105883,50.62737
30,261,2017-07-18,3.104199,50.632544
31,280,2017-07-05,3.110199,50.625844
32,281,2017-07-10,3.097759,50.621476
33,283,2017-07-20,3.0855,50.641747
34,284,2017-07-18,3.036955,50.627982
35,285,2017-07-17,3.093314,50.650058
36,287,2017-07-20,3.069023,50.624033
37,290,2017-07-18,3.066618,50.612475
38,296,2017-07-21,3.096428,50.635075
39,305,2017-07-03,3.102371,50.631897
40,314,2017-07-10,3.058683,50.622649
41,316,2017-07-19,3.08971,50.654073
42,329,2017-07-04,3.099131,50.621737
43,346,2017-07-07,3.060665,50.61829
44,347,2017-07-17,3.106312,50.627424
45,387,2017-07-10,3.020885,50.636117
46,400,2017-07-21,3.098055,50.621929
47,402,2017-07-27,3.027168,50.631071
48,408,2017-07-27,3.097645,50.620995
49,411,2017-07-13,3.030168,50.622796
50,414,2017-07-20,3.046463,50.614459
51,437,2017-07-27,3.037653,50.627995
52,440,2017-07-24,3.094476,50.623487
53,458,2017-07-25,3.114567,50.631994
54,465,2017-07-24,3.085283,50.651737
55,466,2017-07-10,3.088924,50.656076
56,472,2017-07-17,3.055574,50.605947
57,475,2017-07-24,3.096322,50.623038
58,494,2017-07-03,3.055775,50.60501
59,522,2017-08-02,3.092666,50.62267
60,527,2017-07-24,3.039544,50.633873
61,529,2017-08-01,3.088277,50.647752
62,556,2017-07-26,3.089884,50.631067
63,559,2017-08-02,3.052413,50.631868
64,560,2017-08-02,3.052488,50.6319
65,576,2017-08-02,3.090728,50.636637
66,577,2017-07-07,3.048636,50.614503
67,579,2017-07-07,3.048531,50.614529
68,585,2017-07-26,3.112686,50.632739
69,587,2017-07-25,3.040868,50.632069
70,589,2017-07-27,3.098781,50.636763
71,608,2017-08-02,3.053837,50.625737
72,611,2017-07-10,3.054137,50.629506
73,615,2017-07-28,3.100903,50.622378
74,636,2017-07-27,3.03743,50.626599
75,646,2017-08-01,3.040915,50.623118
76,661,2017-07-13,3.045241,50.6238
77,667,2017-07-31,3.049956,50.62489
78,669,2017-07-21,3.093425,50.63377
79,674,2017-07-17,3.053215,50.635396
80,679,2017-07-27,3.115272,50.624639
81,686,2017-07-25,3.094837,50.646052
82,707,2017-07-31,3.089572,50.625485
83,718,2017-07-27,3.04424,50.621045
84,719,2017-08-01,3.089332,50.642092
85,720,2017-08-02,3.025773,50.630904
86,727,2017-07-17,3.043611,50.61059
87,730,2017-07-13,3.044998,50.610977
88,737,2017-08-07,3.040071,50.61054
89,740,2017-07-27,3.040527,50.627032
90,760,2017-08-04,3.058735,50.622223
91,775,2017-07-20,3.044904,50.611238
92,804,2017-07-17,3.056821,50.624836
93,854,2017-07-28,3.029077,50.614807
94,859,2017-08-10,3.054338,50.628037
95,877,2017-07-18,3.051121,50.634933
96,880,2017-07-31,3.056195,50.624483
97,881,2017-07-28,3.115936,50.630535
98,882,2017-07-31,3.111126,50.632196
99,892,2017-07-31,3.113736,50.625172
100,898,2017-07-28,3.112625,50.633465
101,901,2017-07-25,3.026475,50.630064
102,909,2017-07-24,3.034142,50.623868
103,933,2017-08-11,3.080736,50.639278
104,936,2017-08-11,3.092472,50.65052
105,940,2017-08-11,3.115753,50.62698
106,941,2017-07-28,3.040126,50.612896
107,942,2017-08-10,3.027859,50.615018
108,944,2017-08-09,3.086993,50.648108
109,946,2017-08-07,3.040559,50.613088
110,949,2017-08-17,3.096448,50.628908
111,964,2017-08-08,3.100008,50.632611
112,969,2017-08-22,3.063839,50.611749
113,980,2017-07-27,3.055687,50.640068
114,987,2017-07-25,3.096753,50.623132
115,997,2017-08-16,3.026413,50.630432
116,998,2017-08-03,3.060455,50.620225
117,1000,2017-07-31,3.080511,50.639419
118,1007,2017-08-10,3.052067,50.646559
119,1014,2017-08-22,3.062158,50.61942
120,1018,2017-08-22,3.092473,50.634303
121,1031,2017-08-10,3.040971,50.624608
122,1044,2017-08-08,3.098839,50.62289
123,1057,2017-08-03,3.100149,50.619914
124,1068,2017-08-24,3.114779,50.624737
125,1071,2017-08-25,3.102515,50.619279
126,1073,2017-08-24,3.114071,50.624817
127,1075,2017-08-25,3.111409,50.629723
128,1076,2017-08-25,3.08847,50.644464
129,1078,2017-08-01,3.061948,50.619358
130,1090,2017-08-24,3.108279,50.624492
131,1092,2017-08-01,3.037146,50.627602
132,1095,2017-08-16,3.058447,50.626291
133,1096,2017-08-28,3.042462,50.622182
134,1114,2017-08-28,3.094331,50.633199
135,1127,2017-08-22,3.04114,50.623919
136,1130,2017-08-25,3.051953,50.646196
137,1135,2017-08-29,3.028123,50.631241
138,1142,2017-08-04,3.044595,50.611992
139,1177,2017-08-24,3.097588,50.627908
140,1205,2017-08-21,3.036633,50.623387
141,1208,2017-08-11,3.043001,50.613523
142,1231,2017-08-07,3.048983,50.63026
143,1234,2017-08-07,3.093833,50.622702
144,1235,2017-08-21,3.045606,50.612608
145,1253,2017-08-23,3.059207,50.618003
146,1282,2017-08-28,3.095729,50.623919
147,1302,2017-08-29,3.056167,50.645356
148,1316,2017-08-24,3.088178,50.617897
149,1319,2017-08-28,3.027854,50.618289
150,1335,2017-08-25,3.053193,50.621663
151,1336,2017-08-25,3.053249,50.62167
152,1339,2017-08-11,3.072547,50.61263
153,1340,2017-08-11,3.072547,50.61263
154,1361,2017-08-31,3.093908,50.624708
155,1362,2017-08-30,3.059006,50.625272
156,1365,2017-08-21,3.025837,50.616226
157,1366,2017-08-28,3.120725,50.622991
158,1369,2017-08-31,3.087454,50.644715
159,1371,2017-08-21,3.027249,50.618356
160,1378,2017-09-01,3.058183,50.607336
161,1383,2017-08-25,3.051481,50.624461
162,1386,2017-08-29,3.028848,50.615326
163,1405,2017-08-22,3.065794,50.622812
164,1414,2017-09-06,3.102639,50.633009
165,1424,2017-08-30,3.051047,50.627752
166,1427,2017-08-30,3.054287,50.613407
167,1459,2017-09-07,3.103698,50.629205
168,1460,2017-09-08,3.068008,50.643516
169,1462,2017-08-31,3.031499,50.616311
170,1482,2017-09-08,3.100063,50.63222
171,1490,2017-08-18,3.086998,50.617969
172,1516,2017-08-25,3.045503,50.620873
173,1517,2017-09-12,3.057401,50.633512
174,1526,2017-09-04,3.099483,50.630107
175,1529,2017-08-29,3.042452,50.630393
176,1548,2017-08-30,3.06105,50.621451
177,1565,2017-09-05,3.043532,50.621362
178,1573,2017-08-31,3.055487,50.605144
179,1575,2017-08-30,3.057411,50.60645
180,1587,2017-09-14,3.089501,50.640339
181,1594,2017-09-01,3.059874,50.618983
182,1607,2017-09-01,3.041783,50.622765
183,1614,2017-08-25,3.094625,50.624012
184,1626,2017-08-28,3.093471,50.649964
185,1634,2017-09-15,3.102041,50.633486
186,1635,2017-08-25,3.096568,50.624437
