,date_mutation,valeur_fonciere,surface_reelle_bati,type_local,longitude,latitude
0,2017-07-03,71000,30,Appartement,3.055109,50.620358
1,2017-07-03,125000,64,Appartement,3.031688,50.62655
3,2017-07-04,90000,38,Maison,3.059303,50.61897
4,2017-07-03,165000,43,Appartement,3.080442,50.622551
6,2017-07-03,430000,24,Appartement,3.057448,50.625848
7,2017-07-03,430000,14,Appartement,3.057448,50.625848
8,2017-07-03,430000,24,Appartement,3.057448,50.625848
9,2017-07-03,430000,14,Appartement,3.057448,50.625848
10,2017-07-03,430000,38,Appartement,3.057448,50.625848
11,2017-07-04,237950,111,Maison,3.075571,50.623528
16,2017-07-05,217500,119,Maison,3.099521,50.622582
17,2017-07-04,160000,37,Appartement,3.055879,50.637445
19,2017-07-05,100000,45,Appartement,3.063104,50.618871
23,2017-07-06,85000,22,Appartement,3.05716,50.647862
29,2017-07-07,174000,40,Appartement,3.080442,50.622551
32,2017-07-06,150000,63,Appartement,3.049811,50.630683
34,2017-07-03,215000,99,Appartement,3.041468,50.626369
35,2017-07-04,108500,40,Appartement,3.044381,50.626486
36,2017-07-07,198500,97,Maison,3.101242,50.633161
37,2017-07-07,328000,110,Appartement,3.06123,50.6339
38,2017-07-06,190530,82,Maison,3.0265,50.615809
39,2017-07-04,185000,91,Appartement,3.043146,50.626155
41,2017-07-06,185000,49,Appartement,3.057623,50.644951
42,2017-07-05,300000,191,Maison,3.034681,50.628527
44,2017-07-03,240000,103,Maison,3.091835,50.650769
45,2017-07-10,145000,107,Maison,3.08583,50.633455
46,2017-07-07,131900,36,Appartement,3.052972,50.629808
48,2017-07-10,113400,31,Appartement,3.080175,50.62798
49,2017-07-10,121800,100,Maison,3.111188,50.633162
55,2017-07-04,800000,85,Appartement,3.050002,50.618987
56,2017-07-04,800000,58,Appartement,3.050002,50.618987
58,2017-07-04,800000,85,Appartement,3.050002,50.618987
60,2017-07-03,520000,22,Appartement,3.056393,50.628275
63,2017-07-03,520000,128,Appartement,3.056393,50.628275
64,2017-07-03,520000,22,Appartement,3.056393,50.628275
66,2017-07-06,173000,69,Appartement,3.082104,50.623649
67,2017-07-04,200000,15,Appartement,3.086636,50.633138
69,2017-07-04,200000,20,Appartement,3.086636,50.633138
71,2017-07-04,200000,11,Appartement,3.086636,50.633138
72,2017-07-04,200000,34,Appartement,3.086636,50.633138
73,2017-07-04,200000,15,Appartement,3.086636,50.633138
74,2017-07-04,200000,15,Appartement,3.086636,50.633138
75,2017-07-04,200000,11,Appartement,3.086636,50.633138
106,2017-07-05,185000,77,Maison,3.102869,50.625936
107,2017-07-03,227000,74,Appartement,3.068089,50.626319
110,2017-07-10,130000,45,Maison,3.0287,50.61522
111,2017-07-10,130000,45,Maison,3.028648,50.615209
113,2017-07-11,167000,110,Appartement,3.085349,50.653191
117,2017-07-11,193000,64,Appartement,3.052395,50.612165
122,2017-07-04,96000,30,Appartement,3.084078,50.641008
